STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
1,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,23.5,2/1/2021,Yamaha,Exciter,2017,100 - 175 ,Tay côn/Moto,33333
2,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,125,2/1/2021,Honda,Dòng khác,2000,100 - 175 ,Tay côn/Moto,50
3,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,,155,2/1/2021,Honda,SH,2011,100 - 175 ,Tay ga,9999
4,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,295,2/1/2021,Kawasaki,Z1000,2017,Trên 175 ,Tay côn/Moto,7559
5,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,36.9,2/1/2021,Suzuki,Raider,2018,100 - 175 ,Tay côn/Moto,
6,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 11,86,2/1/2021,Honda,SH,2017,100 - 175 ,Tay ga,10
7,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,39.8,2/1/2021,Suzuki,Crystal,2009,100 - 175 ,Tay côn/Moto,36
8,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo,7.8,2/1/2021,Honda,Win,2010,100 - 175 ,Tay côn/Moto,1233
9,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,3.8,2/1/2021,SYM,Attila,2006,100 - 175 ,Tay ga,33333
10,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hòa Thạnh,79,2/1/2021,Yamaha,Yass,1999,100 - 175 ,Tay côn/Moto,20
11,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 2,19,2/1/2021,Honda,Air Blade,2009,50 - 100 ,Tay ga,30
12,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thạnh Xuân,26,2/1/2021,Yamaha,Exciter,2016,50 - 100 ,Tay côn/Moto,50
13,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Phú Thuận,11.7,2/1/2021,Yamaha,Luvias,2014,100 - 175 ,Tay ga,20
14,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,43.9,2/1/2021,Honda,Vario,2019,100 - 175 ,Tay ga,9
15,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,,7.2,2/1/2021,Honda,Lead,2008,100 - 175 ,Tay ga,3
16,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,8.7,2/1/2021,Honda,Dream,1997,100 - 175 ,Xe số,10
17,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 1,3.5,2/1/2021,Honda,Wave,2005,100 - 175 ,Xe số,
